epoch,earth_engine_asset_id,in_previous_manifest,in_new_manifest,change
2020,LANDSAT/LC08/C02/T1_L2/LC08_185058_20191225,False,True,ADDED
2020,LANDSAT/LC08/C02/T1_L2/LC08_185058_20200110,False,True,ADDED
2020,LANDSAT/LC08/C02/T1_L2/LC08_185058_20200126,False,True,ADDED
2020,LANDSAT/LC08/C02/T1_L2/LC08_185058_20200211,False,True,ADDED
2020,LANDSAT/LC08/C02/T1_L2/LC08_185058_20200227,False,True,ADDED
2025,LANDSAT/LC08/C02/T1_L2/LC08_185057_20241104,True,True,UNCHANGED
2025,LANDSAT/LC08/C02/T1_L2/LC08_185057_20241120,True,True,UNCHANGED
2025,LANDSAT/LC08/C02/T1_L2/LC08_185057_20241206,True,True,UNCHANGED
2025,LANDSAT/LC08/C02/T1_L2/LC08_185057_20241222,True,True,UNCHANGED
2025,LANDSAT/LC08/C02/T1_L2/LC08_185057_20250107,True,True,UNCHANGED
2025,LANDSAT/LC08/C02/T1_L2/LC08_185057_20250123,True,True,UNCHANGED
2025,LANDSAT/LC08/C02/T1_L2/LC08_185058_20241120,True,True,UNCHANGED
2025,LANDSAT/LC08/C02/T1_L2/LC08_185058_20241206,True,True,UNCHANGED
2025,LANDSAT/LC08/C02/T1_L2/LC08_185058_20241222,True,True,UNCHANGED
2025,LANDSAT/LC08/C02/T1_L2/LC08_185058_20250107,True,True,UNCHANGED
2025,LANDSAT/LC09/C02/T1_L2/LC09_185057_20241112,True,True,UNCHANGED
2025,LANDSAT/LC09/C02/T1_L2/LC09_185057_20241128,True,True,UNCHANGED
2025,LANDSAT/LC09/C02/T1_L2/LC09_185057_20241214,True,True,UNCHANGED
2025,LANDSAT/LC09/C02/T1_L2/LC09_185057_20241230,True,True,UNCHANGED
2025,LANDSAT/LC09/C02/T1_L2/LC09_185057_20250131,True,True,UNCHANGED
2025,LANDSAT/LC09/C02/T1_L2/LC09_185058_20241112,True,True,UNCHANGED
2025,LANDSAT/LC09/C02/T1_L2/LC09_185058_20241128,True,True,UNCHANGED
2025,LANDSAT/LC09/C02/T1_L2/LC09_185058_20241214,True,True,UNCHANGED
2025,LANDSAT/LC09/C02/T1_L2/LC09_185058_20241230,True,True,UNCHANGED
